"RegistryPath","Path","Name","Kind","Value"
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{1A610570-38CE-11D4-A2A3-00104BD35090},Dll,String,C:\Windows\SysWOW64\wshext.dll
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{1A610570-38CE-11D4-A2A3-00104BD35090},FuncName,String,CreateIndirectData
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{5598CFF1-68DB-4340-B57F-1CACF88C9A51},Dll,String,C:\Windows\SysWOW64\AppxSip.dll
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{5598CFF1-68DB-4340-B57F-1CACF88C9A51},FuncName,String,P7SipCreateIndirectData
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{603BCC1F-4B59-4E08-B724-D2C6297EF351},Dll,String,C:\Windows\SysWOW64\WindowsPowerShell\v1.0\pwrshsip.dll
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{603BCC1F-4B59-4E08-B724-D2C6297EF351},FuncName,String,PsCreateHash
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{9BA61D3F-E73A-11D0-8CD2-00C04FC295EE},Dll,String,WINTRUST.DLL
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{9BA61D3F-E73A-11D0-8CD2-00C04FC295EE},FuncName,String,CryptSIPCreateIndirectData
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{9F3053C5-439D-4BF7-8A77-04F0450A1D9F},Dll,String,C:\Windows\SysWOW64\EsdSip.dll
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{9F3053C5-439D-4BF7-8A77-04F0450A1D9F},FuncName,String,EsdSipCreateHash
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{C689AAB8-8E78-11D0-8C47-00C04FC295EE},Dll,String,WINTRUST.DLL
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{C689AAB8-8E78-11D0-8C47-00C04FC295EE},FuncName,String,CryptSIPCreateIndirectData
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{C689AAB9-8E78-11D0-8C47-00C04FC295EE},Dll,String,WINTRUST.DLL
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{C689AAB9-8E78-11D0-8C47-00C04FC295EE},FuncName,String,CryptSIPCreateIndirectData
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{C689AABA-8E78-11D0-8C47-00C04FC295EE},Dll,String,WINTRUST.DLL
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{C689AABA-8E78-11D0-8C47-00C04FC295EE},FuncName,String,CryptSIPCreateIndirectData
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{CF78C6DE-64A2-4799-B506-89ADFF5D16D6},Dll,String,C:\Windows\SysWOW64\AppxSip.dll
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{CF78C6DE-64A2-4799-B506-89ADFF5D16D6},FuncName,String,EappxSipCreateIndirectData
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{D1D04F0C-9ABA-430D-B0E4-D7E96ACCE66C},Dll,String,C:\Windows\SysWOW64\AppxSip.dll
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{D1D04F0C-9ABA-430D-B0E4-D7E96ACCE66C},FuncName,String,EappxBundleSipCreateIndirectData
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{DE351A42-8E59-11D0-8C47-00C04FC295EE},Dll,String,WINTRUST.DLL
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{DE351A42-8E59-11D0-8C47-00C04FC295EE},FuncName,String,CryptSIPCreateIndirectData
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{DE351A43-8E59-11D0-8C47-00C04FC295EE},Dll,String,WINTRUST.DLL
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllCreateIndirectData\{DE351A43-8E59-11D0-8C47-00C04FC295EE},FuncName,String,CryptSIPCreateIndirectData
